epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
122,4302.19,0.60875,0.44738,0.96523,0.91409,0.78453,0.85758,0.59222,1.07159,0.59482,1.22412,0.00028635,0.00028635,0.00028635
123,4335,0.61021,0.45028,0.96811,0.88721,0.80669,0.85503,0.58504,1.09026,0.5943,1.24021,0.000282815,0.000282815,0.000282815
124,4367.16,0.60438,0.4496,0.96592,0.89511,0.79953,0.85335,0.58813,1.08077,0.59045,1.22741,0.000279281,0.000279281,0.000279281
125,4400.86,0.60368,0.44957,0.96645,0.94287,0.77665,0.8555,0.59162,1.11259,0.58653,1.24699,0.000275747,0.000275747,0.000275747
126,4434.52,0.59654,0.44115,0.96302,0.93359,0.78246,0.85662,0.59559,1.09048,0.58841,1.22844,0.000272212,0.000272212,0.000272212
127,4473.89,0.5951,0.4369,0.95999,0.93933,0.79941,0.86779,0.59819,1.08867,0.57633,1.2276,0.000268678,0.000268678,0.000268678
128,4507.31,0.59256,0.43546,0.95793,0.9372,0.79444,0.86052,0.59605,1.08088,0.5677,1.2275,0.000265144,0.000265144,0.000265144
129,4539.97,0.59853,0.44028,0.96352,0.93867,0.80224,0.86859,0.60238,1.08197,0.56526,1.23466,0.00026161,0.00026161,0.00026161
130,4572.41,0.59585,0.43763,0.96022,0.94601,0.7898,0.86519,0.60116,1.08074,0.5681,1.21832,0.000258075,0.000258075,0.000258075
131,4606.07,0.58889,0.43153,0.95663,0.94562,0.78412,0.86465,0.59582,1.08609,0.56396,1.22151,0.000254541,0.000254541,0.000254541
132,4639.12,0.58871,0.4341,0.96089,0.95843,0.78837,0.87124,0.59791,1.08158,0.56765,1.22194,0.000251007,0.000251007,0.000251007
133,4672.87,0.59476,0.43385,0.95797,0.94922,0.79158,0.86571,0.59678,1.10321,0.57179,1.23501,0.000247472,0.000247472,0.000247472
134,4707.01,0.58099,0.42812,0.95426,0.93081,0.80569,0.87195,0.59812,1.1009,0.5623,1.23517,0.000243938,0.000243938,0.000243938
135,4739.91,0.5867,0.43408,0.95796,0.95379,0.78952,0.87182,0.601,1.07867,0.56334,1.21793,0.000240404,0.000240404,0.000240404
136,4772.87,0.58684,0.42865,0.9556,0.92829,0.80557,0.87377,0.6032,1.07805,0.55673,1.22471,0.000236869,0.000236869,0.000236869
137,4807.14,0.58397,0.43076,0.9585,0.94968,0.79205,0.87189,0.60007,1.09972,0.56087,1.24848,0.000233335,0.000233335,0.000233335
138,4840.05,0.57751,0.42427,0.95315,0.94959,0.7951,0.8744,0.60105,1.09832,0.56542,1.2348,0.000229801,0.000229801,0.000229801
139,4873.66,0.57577,0.42181,0.94936,0.9334,0.8156,0.87938,0.61163,1.05007,0.54356,1.19667,0.000226267,0.000226267,0.000226267
140,4906.68,0.57869,0.42468,0.95162,0.92726,0.80871,0.87427,0.60432,1.07017,0.55064,1.22179,0.000222732,0.000222732,0.000222732
141,4940.18,0.56983,0.41942,0.95115,0.92984,0.80774,0.86953,0.60666,1.0591,0.5595,1.21659,0.000219198,0.000219198,0.000219198
142,4972.97,0.57235,0.4177,0.94712,0.92203,0.81281,0.87165,0.60394,1.06977,0.56429,1.21351,0.000215664,0.000215664,0.000215664
143,5007.39,0.56771,0.41703,0.94959,0.93791,0.80787,0.87278,0.60725,1.07027,0.56092,1.21623,0.000212129,0.000212129,0.000212129
144,5040.25,0.56451,0.41511,0.94749,0.93575,0.81695,0.87533,0.6058,1.06888,0.55805,1.2101,0.000208595,0.000208595,0.000208595
145,5072.89,0.56414,0.41582,0.94775,0.92289,0.81881,0.8771,0.60843,1.06413,0.56264,1.20929,0.000205061,0.000205061,0.000205061
146,5105.6,0.57314,0.4158,0.95007,0.93295,0.79351,0.86572,0.60071,1.07596,0.55947,1.22285,0.000201527,0.000201527,0.000201527
147,5138.9,0.55951,0.41214,0.94857,0.95286,0.79666,0.87025,0.60591,1.06633,0.56334,1.2102,0.000197992,0.000197992,0.000197992
148,5171.34,0.56355,0.40731,0.9475,0.95289,0.79861,0.87053,0.60932,1.06203,0.567,1.20476,0.000194458,0.000194458,0.000194458
149,5204.6,0.56394,0.41243,0.94514,0.93741,0.80004,0.86917,0.60372,1.08205,0.56818,1.21952,0.000190924,0.000190924,0.000190924
150,5237.89,0.56388,0.41028,0.94464,0.91846,0.81961,0.87429,0.60864,1.06682,0.56152,1.20555,0.000187389,0.000187389,0.000187389
151,5271.54,0.55458,0.4067,0.94349,0.92941,0.79901,0.87364,0.6078,1.05328,0.55437,1.19616,0.000183855,0.000183855,0.000183855
152,5304.3,0.56141,0.41055,0.94409,0.94759,0.79515,0.8748,0.61113,1.04987,0.55356,1.1928,0.000180321,0.000180321,0.000180321
153,5337.63,0.55613,0.40371,0.93951,0.95176,0.79797,0.87859,0.60905,1.07025,0.56549,1.21294,0.000176786,0.000176786,0.000176786
154,5370.7,0.55575,0.4111,0.94051,0.90638,0.82092,0.874,0.60679,1.08152,0.56417,1.23039,0.000173252,0.000173252,0.000173252
155,5403.07,0.54717,0.40053,0.93931,0.94711,0.78391,0.87265,0.60546,1.0753,0.56678,1.22078,0.000169718,0.000169718,0.000169718
156,5436.31,0.5512,0.40422,0.94014,0.91993,0.81382,0.87732,0.60651,1.07586,0.56887,1.21888,0.000166183,0.000166183,0.000166183
157,5469.31,0.54931,0.39912,0.93883,0.94778,0.79684,0.87467,0.61049,1.07163,0.56641,1.21759,0.000162649,0.000162649,0.000162649
158,5502.64,0.55107,0.40069,0.94196,0.94603,0.80466,0.87797,0.60931,1.05394,0.57015,1.21015,0.000159115,0.000159115,0.000159115
159,5535.73,0.54429,0.39734,0.9391,0.91325,0.82688,0.87623,0.60687,1.07167,0.56266,1.22505,0.000155581,0.000155581,0.000155581
160,5569.09,0.54433,0.39461,0.93599,0.92807,0.81408,0.8758,0.60876,1.07458,0.55968,1.22788,0.000152046,0.000152046,0.000152046
161,5602.68,0.54431,0.39364,0.93648,0.95444,0.79909,0.87651,0.61115,1.06381,0.55965,1.2201,0.000148512,0.000148512,0.000148512
162,5636.82,0.54591,0.39676,0.93965,0.94985,0.8074,0.88007,0.61664,1.06238,0.55011,1.22474,0.000144978,0.000144978,0.000144978
163,5670.91,0.54094,0.39626,0.93801,0.95575,0.79665,0.8794,0.62137,1.04907,0.54381,1.20576,0.000141443,0.000141443,0.000141443
164,5704.62,0.5402,0.39553,0.93631,0.95823,0.79595,0.87618,0.61625,1.04985,0.54538,1.20761,0.000137909,0.000137909,0.000137909
165,5738.08,0.54039,0.39303,0.93495,0.93743,0.79676,0.87573,0.61449,1.04617,0.54903,1.20985,0.000134375,0.000134375,0.000134375
166,5771.95,0.53448,0.39026,0.93285,0.93273,0.81083,0.88159,0.61234,1.05627,0.55262,1.21872,0.000130841,0.000130841,0.000130841
167,5804.8,0.54067,0.3939,0.93522,0.94857,0.79553,0.88015,0.60804,1.06207,0.55356,1.22431,0.000127306,0.000127306,0.000127306
168,5838.04,0.53289,0.38705,0.93247,0.93697,0.79358,0.87641,0.61103,1.06226,0.55288,1.21929,0.000123772,0.000123772,0.000123772
169,5870.95,0.53261,0.3846,0.93106,0.94946,0.78475,0.87207,0.60813,1.05984,0.55635,1.22552,0.000120238,0.000120238,0.000120238
170,5904.67,0.53157,0.38819,0.93354,0.94575,0.79262,0.87637,0.61265,1.05372,0.5534,1.2144,0.000116703,0.000116703,0.000116703
